literka;Duże linie ukośne (w prawo);Małe linie ukośne (w prawo);Duże linie ukośne (w lewo);Małe linie ukośne (w lewo);Linie poziome;Duże linie pionowe;Małe linie pionowe;Ogonek;Kreska;Kropka;Duże łuki;Małe łuki;Okręgi;Pozycja okręgu;Przecięcia
J;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1
j;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
K;0;1;0;1;2;1;0;0;0;0;0;0;0;0;3
k;0;1;0;1;0;1;0;0;0;0;0;0;0;0;2
L;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2
l;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Ł;0;1;0;0;2;1;0;0;0;0;0;0;0;0;3
ł;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
M;2;0;1;0;4;1;0;0;0;0;0;0;0;0;4
m;0;2;0;0;0;3;0;0;0;0;0;0;0;0;2
N;0;0;1;0;3;2;0;0;0;0;0;0;0;0;3
n;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1
Ń;0;0;1;0;3;2;0;0;1;0;0;0;0;0;3
ń;0;1;0;0;0;0;2;0;1;0;0;0;0;0;1
O;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
o;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Ó;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
ó;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
P;0;0;0;0;3;1;0;0;0;0;0;1;0;0;3
p;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0
R;0;0;0;1;3;0;0;0;0;0;0;1;0;0;3
r;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
s;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Ś;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
ś;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
T;0;0;0;0;2;1;2;0;0;0;0;0;0;0;2
t;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1
U;0;0;0;0;3;2;0;0;0;0;1;0;0;0;3
u;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1
W;2;0;1;0;2;1;0;0;0;0;0;0;0;0;2
w;0;0;0;0;1;0;1;0;0;0;0;2;0;0;1
Y;0;0;0;0;1;0;0;0;0;0;2;0;0;0;2
y;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1
Z;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0
z;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
Ź;1;0;0;0;2;0;2;0;1;0;0;0;0;0;0
ź;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0
Ż;1;0;0;0;2;0;2;0;0;1;0;0;0;0;0
Ż;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0
